# {"env_id": "MobileDualUR5HuskyPickAndPlaceGym-v1", "t_start": 1575578546.9829633} 
r,l,t
-107.756926,100,1.803128
-73.07918,100,3.563244
-68.652406,100,5.305522
-103.029718,100,7.029757
-157.19887,100,8.633481
-75.818838,100,10.434512
-130.035384,100,12.154588
-84.522205,100,13.903398
-82.913375,100,15.665143
-111.840387,100,17.516004
-116.005238,100,19.255804
-101.022263,100,21.0348
-129.126878,100,22.738542
-131.749762,100,24.294845
-93.157316,100,25.952734
-145.459789,100,27.634046
-64.59319,100,29.336498
-104.475777,100,31.057326
-81.06482,100,32.71134
-89.597947,100,34.468036
-80.578165,100,54.135391
-88.497937,100,55.868337
-120.560118,100,57.655319
-119.894655,100,59.380202
-144.175973,100,61.038327
-68.337026,100,62.778033
-55.776933,100,64.422034
-70.726541,100,66.038076
-87.432211,100,67.681689
-105.217959,100,69.42834
-72.285066,100,71.178733
-112.973273,100,72.860646
-98.81295,100,74.653837
-138.574316,100,76.234882
-75.279297,100,77.866272
-99.130999,100,79.628655
-139.625598,100,81.228199
-161.52794,100,82.883213
-94.453676,100,84.566688
-106.962501,100,86.36269
-149.411415,100,88.582636
-95.135602,100,90.537334
-119.63462,100,92.10456
-97.682873,100,93.790246
-98.841284,100,95.499734
-132.455001,100,97.165171
-87.396797,100,99.141269
-122.601245,100,100.733302
-92.442058,100,102.436852
-100.086372,100,104.114655
-147.096381,100,105.753461
-116.136686,100,107.554699
-75.004246,100,109.326337
-114.196207,100,111.070429
-120.860994,100,112.891433
-92.607693,100,114.627947
-102.733289,100,116.152823
-98.787603,100,117.870557
-87.323511,100,119.581411
-63.953113,100,121.313047
-118.565176,100,123.055445
-93.415538,100,125.18624
-114.16967,100,126.860985
-102.51251,100,128.722044
-80.911693,100,130.475835
-103.283387,100,132.385722
-119.941947,100,134.172884
-109.630868,100,135.829494
-73.076754,100,137.517633
-113.198542,100,139.296222
-92.210215,100,141.044064
-115.421071,100,142.726002
-85.442833,100,144.503234
-102.184303,100,146.309107
-124.456504,100,147.965724
-81.322235,100,149.792993
-130.671304,100,151.480519
-104.050352,100,153.159897
-125.906646,100,154.799986
-126.571182,100,156.519784
-89.834396,100,158.370658
-68.760779,100,160.596985
-80.804758,100,162.551345
-107.426045,100,164.493304
-118.613667,100,166.337908
-123.509817,100,168.329298
-108.159262,100,170.138606
-126.219355,100,171.753062
-77.772387,100,173.585223
-115.93621,100,175.481827
-91.573594,100,177.435854
-115.866854,100,179.407035
-153.527958,100,181.073333
-122.439295,100,182.667775
-128.2758,100,184.609151
-144.124637,100,186.376008
-106.697516,100,188.05419
-147.948184,100,189.683834
-113.036772,100,191.455732
-119.084299,100,193.125925
-83.663969,100,194.841918
-1089.691562,100,196.323828
-88.000676,100,198.49064
-140.753368,100,200.107545
-74.40533,100,201.992535
-123.243236,100,203.980453
-155.660584,100,205.758301
-90.045345,100,207.476592
-141.114246,100,209.250373
-146.098717,100,210.874265
-95.85854,100,212.688398
-60.849761,100,214.393897
-101.157102,100,216.174513
-116.054533,100,218.122219
-74.030566,100,219.951929
-82.734081,100,221.751327
-88.357639,100,223.442596
-1111.415862,100,225.078388
-147.612206,100,226.764548
-68.498753,100,228.522706
-78.747711,100,230.32582
-159.001487,100,232.193842
-118.294795,100,234.513001
-90.089536,100,236.315001
-76.226281,100,238.127883
-94.195652,100,239.934109
-131.734837,100,241.984236
-100.773205,100,243.830857
-103.28201,100,245.541431
-84.997973,100,247.252538
-103.333715,100,249.178797
-120.268886,100,250.825037
-148.050051,100,252.459262
-81.899987,100,254.192837
-87.390327,100,255.908592
-68.037019,100,257.71779
-1126.589226,100,258.995887
-121.48289,100,260.667541
-68.040495,100,262.399593
-155.842536,100,264.077266
-79.141333,100,265.74461
-77.53935,100,267.546405
-110.63308,100,269.369087
-107.091059,100,271.613592
-88.703159,100,273.282149
-129.698545,100,275.227905
-59.937391,100,276.906423
-92.17977,100,278.665207
-109.97788,100,280.492787
-92.332966,100,282.212715
-97.725087,100,283.969365
-63.656064,100,285.597315
-141.047099,100,287.278526
-122.254983,100,289.013576
-70.140372,100,290.709366
-134.956249,100,292.470048
-100.664772,100,294.180061
-87.18567,100,295.985056
-96.537689,100,297.683756
-1114.294298,100,299.288707
-73.72525,100,301.049101
-78.340793,100,302.814526
-1150.582945,100,304.085874
-127.49853,100,306.337726
-96.380351,100,308.061034
-121.372109,100,309.788407
-97.483091,100,311.554518
-160.182312,100,313.289264
-60.531147,100,314.980615
-78.482011,100,316.624698
-69.415198,100,318.442392
-94.402921,100,320.211723
-151.026432,100,321.800862
-1145.767463,100,323.012199
-179.37183,100,324.704356
-92.23067,100,326.44042
-91.883181,100,328.134237
-178.095927,100,329.892543
-83.36092,100,331.679798
-140.917372,100,333.221493
-134.020069,100,334.727419
-88.391217,100,336.533709
-98.208976,100,338.350313
-144.006699,100,339.923933
-93.150482,100,342.346114
-72.842481,100,344.092705
-110.822071,100,345.865108
-1127.064027,100,347.202098
-109.022676,100,348.896314
-96.506762,100,350.585347
-87.597198,100,352.376981
-94.184717,100,354.090281
-147.404151,100,355.667049
-79.497042,100,357.436996
-1112.57599,100,358.835876
-144.736518,100,360.376567
-78.059992,100,362.02064
-44.839162,100,363.594655
-160.095952,100,365.190863
-142.314823,100,366.681634
-101.490342,100,368.37388
-78.586294,100,369.94001
-105.604226,100,371.764851
-72.34116,100,373.528944
-106.85505,100,375.807891
-97.316454,100,377.507496
-116.125689,100,379.203928
-81.055508,100,380.889802
-80.154339,100,382.628857
-132.513556,100,384.340784
-1136.647163,100,385.530831
-69.763074,100,387.12791
-142.788958,100,388.749822
-66.450261,100,390.433065
-118.415265,100,392.073204
-132.03922,100,393.498794
-85.795087,100,395.212466
-1100.427929,100,396.671011
-145.663935,100,398.428383
-93.885856,100,400.132559
-103.177388,100,401.838905
-112.72425,100,403.514681
-89.719987,100,405.105796
-71.589178,100,406.817685
-123.739888,100,408.261393
-137.971338,100,410.277034
-1077.755537,100,411.82521
-68.906743,100,413.442886
-63.388749,100,415.064343
-87.557954,100,416.749144
-106.974563,100,418.440148
-117.357315,100,419.938396
-54.006488,100,421.551799
-102.111464,100,423.306233
-49.938424,100,424.986746
-1125.873954,100,426.295762
-70.461301,100,427.964667
-161.42151,100,429.443872
-110.923215,100,431.177392
-125.792896,100,432.913491
-182.040174,100,434.505316
-68.57143,100,436.136822
-91.324364,100,437.839874
-158.403426,100,439.448575
-74.994155,100,441.143947
